episode,step,total,progress,waypoint_bonus,lateral_penalty,steer_jerk,speed,time,goal_bonus,oob_penalty,stall_penalty,termination,progress_fraction
0,0,-0.0352,0.0,0.0,-0.0,-0.0152,0.0,-0.02,0.0,0.0,0.0,running,0.0
0,1,-0.0215,0.0,0.0,-0.0,-0.0017,0.0001,-0.02,0.0,0.0,0.0,running,0.0
0,2,-0.0237,0.0,0.0,-0.0,-0.004,0.0003,-0.02,0.0,0.0,0.0,running,0.0
0,3,-0.0203,0.0011,0.0,-0.0,-0.002,0.0007,-0.02,0.0,0.0,0.0,running,0.0001
0,4,-0.0055,0.0112,0.0,-0.0,-0.0,0.0034,-0.02,0.0,0.0,0.0,running,0.0006
0,5,0.0079,0.0218,0.0,-0.0,-0.0003,0.0065,-0.02,0.0,0.0,0.0,running,0.0017
0,6,0.0772,0.0752,0.0,-0.0001,-0.0003,0.0225,-0.02,0.0,0.0,0.0,running,0.0055
0,7,0.0488,0.0534,0.0,-0.0003,-0.0003,0.0159,-0.02,0.0,0.0,0.0,running,0.0081
0,8,0.0617,0.0639,0.0,-0.0005,-0.0006,0.0189,-0.02,0.0,0.0,0.0,running,0.0113
0,9,0.0748,0.0744,0.0,-0.001,-0.0005,0.0219,-0.02,0.0,0.0,0.0,running,0.0151
0,10,0.0877,0.0849,0.0,-0.0017,-0.0004,0.0248,-0.02,0.0,0.0,0.0,running,0.0193
0,11,0.1,0.0954,0.0,-0.0027,-0.0004,0.0277,-0.02,0.0,0.0,0.0,running,0.0241
0,12,0.1117,0.1058,0.0,-0.0042,-0.0003,0.0304,-0.02,0.0,0.0,0.0,running,0.0294
0,13,0.1225,0.1162,0.0,-0.0063,-0.0003,0.033,-0.02,0.0,0.0,0.0,running,0.0352
0,14,0.1323,0.1266,0.0,-0.0093,-0.0004,0.0354,-0.02,0.0,0.0,0.0,running,0.0415
0,15,0.2769,0.2464,0.0,-0.016,-0.0005,0.067,-0.02,0.0,0.0,0.0,running,0.0538
0,16,0.1579,0.158,0.0,-0.022,-0.0004,0.0422,-0.02,0.0,0.0,0.0,running,0.0617
0,17,0.1627,0.1686,0.0,-0.0291,-0.0009,0.0441,-0.02,0.0,0.0,0.0,running,0.0702
0,18,0.1649,0.1787,0.0,-0.0386,-0.001,0.0457,-0.02,0.0,0.0,0.0,running,0.0791
0,19,0.1654,0.1891,0.0,-0.0502,-0.0006,0.0471,-0.02,0.0,0.0,0.0,running,0.0885
0,20,0.1626,0.1995,0.0,-0.0644,-0.0008,0.0483,-0.02,0.0,0.0,0.0,running,0.0985
0,21,0.1563,0.21,0.0,-0.0814,-0.0015,0.0492,-0.02,0.0,0.0,0.0,running,0.109
0,22,-19.853,0.2204,10.0,-0.1013,-0.002,0.0498,-0.02,0.0,-30.0,0.0,out_of_bounds,0.12
1,0,-0.07,0.0,0.0,-0.0,-0.05,0.0,-0.02,0.0,0.0,0.0,running,0.0
